,Year,Borough,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,Percent below poverty level; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined - AGE - Under 18 years,Percent below poverty level; Estimate; Population for whom poverty status is determined - AGE - Under 18 years,Below poverty level; Estimate; Population for whom poverty status is determined - AGE - 18 to 64 years,Percent below poverty level; Estimate; Population for whom poverty status is determined - AGE - 18 to 64 years,Below poverty level; Estimate; Population for whom poverty status is determined - SEX - Male,Percent below poverty level; Estimate; Population for whom poverty status is determined - SEX - Male,Below poverty level; Estimate; Population for whom poverty status is determined - SEX - Female,Percent below poverty level; Estimate; Population for whom poverty status is determined - SEX - Female,Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate,Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree",Crime count,Percent; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - population percent with only high school
0,2005,Bronx,1300331,379959,29.2,153595,39.7,192843,24.5,156452,25.9,223507,32.1,109534,26.3,252490,243938,167360,1984,38.03774699150934
1,2005,Brooklyn,2440413,545611,22.4,196136,30.5,275426,18.3,234268,20.5,311343,24.0,185263,21.1,351811,479333,321050,3292,30.534007293910577
2,2005,Manhattan,1526982,272890,17.9,78908,29.6,151478,14.2,118120,16.3,154770,19.3,68322,30.0,173559,156396,160721,2579,35.371405978690625
3,2005,Queens,2208518,263701,11.9,77939,15.9,149266,10.4,110117,10.3,153584,13.5,51767,11.9,311946,452101,336432,2330,28.346383711093075
4,2005,Staten Island,454610,49951,11.0,19505,17.5,25363,8.7,21294,9.7,28657,12.2,13786,30.6,36346,104389,80900,554,16.39903444853024
5,2006,Bronx,1320591,383788,29.1,158899,41.3,195813,24.3,156562,25.6,227226,32.0,117494,27.1,245604,239961,180115,114329,36.89520490325682
6,2006,Brooklyn,2485425,561548,22.6,209167,32.3,281369,18.2,244755,20.9,316793,24.1,201884,23.2,356680,483574,303248,160029,31.19189997044168
7,2006,Manhattan,1565250,286800,18.3,73369,27.1,172914,15.8,125946,16.8,160854,19.7,76799,31.7,188362,173816,163211,129603,35.85191163119136
8,2006,Queens,2230432,271980,12.2,84624,17.0,152100,10.5,117366,10.8,154614,13.5,50419,11.9,309592,476098,317888,107170,28.053476963114527
9,2006,Staten Island,468646,43036,9.2,13329,11.8,23816,7.9,19129,8.4,23907,9.9,10379,22.7,36760,109596,80984,27542,16.16961379431688
10,2007,Bronx,1337923,362062,27.1,144918,38.1,189325,23.0,147339,23.7,214723,29.9,107839,24.2,249705,243434,182128,117561,36.97870620065841
11,2007,Brooklyn,2508282,550169,21.9,199873,31.7,279587,17.7,241782,20.4,308387,23.3,183319,20.9,367157,492370,306816,156347,31.479333266457637
12,2007,Manhattan,1584449,279522,17.6,74275,27.5,167866,15.0,119393,15.7,160129,19.4,73263,29.8,187300,161334,161704,130743,36.701166677770416
13,2007,Queens,2248820,270066,12.0,79560,16.5,153182,10.3,114694,10.5,155372,13.5,48796,11.3,302856,482675,321531,106394,27.356733407885013
14,2007,Staten Island,469575,45877,9.8,14008,12.4,25701,8.5,21344,9.3,24533,10.2,12330,27.2,39091,112778,74928,26156,17.236118643544668
15,2008,Bronx,1349428,371971,27.6,151907,39.7,190513,22.9,155047,24.8,216924,30.0,121282,25.1,257787,216553,199709,114235,38.24454898679473
16,2008,Brooklyn,2538724,536474,21.1,193031,30.4,269701,16.9,237437,19.8,299037,22.3,185432,20.9,384963,465073,342793,155913,32.27310871885241
17,2008,Manhattan,1592904,268635,16.9,59338,21.8,167049,15.0,122549,16.0,146086,17.6,71263,28.7,186814,147931,183871,128380,36.0216422169775
18,2008,Queens,2269435,275652,12.1,79250,16.4,158682,10.7,123310,11.2,152342,13.1,53475,12.3,325234,449547,345849,103266,29.022424886001623
19,2008,Staten Island,478849,47752,10.0,16613,14.8,27590,8.9,21301,9.1,26451,10.8,15019,31.9,39442,110856,80512,26881,17.088514362462632
20,2009,Bronx,1355221,386829,28.5,152331,40.4,205627,24.5,165567,26.2,221262,30.6,122880,25.8,256675,218842,199769,112795,38.00982102398095
21,2009,Brooklyn,2542815,554182,21.8,196907,31.5,289269,17.8,247691,20.6,306491,22.9,187284,21.5,369883,469624,347965,150487,31.148776560626274
22,2009,Manhattan,1587685,262801,16.6,63157,24.5,162008,14.4,119621,15.8,143180,17.3,60994,25.0,166285,145859,175011,124574,34.13389988812596
23,2009,Queens,2287428,288092,12.6,75538,15.4,175685,11.7,126603,11.4,161489,13.7,48250,11.3,326575,440486,372755,98917,28.651554285954926
24,2009,Staten Island,483308,54142,11.2,17165,15.2,31203,10.0,24623,10.5,29519,11.9,11199,23.1,42209,109398,85762,24173,17.782018713479854
25,2010,Bronx,1351398,408584,30.2,155620,43.0,221926,26.1,167794,26.7,240790,33.3,133395,28.3,253332,242182,197849,112169,36.53670588133488
26,2010,Brooklyn,2484504,571936,23.0,198536,34.0,315284,19.5,249922,21.3,322014,24.5,194946,23.1,351078,474723,340650,152342,30.09796382359825
27,2010,Manhattan,1550475,254289,16.4,51039,22.1,167328,15.1,106518,14.7,147771,17.9,62354,25.9,163889,150209,167452,121669,34.03364136642093
28,2010,Queens,2213118,332165,15.0,99291,21.8,198745,13.4,150713,14.0,181452,15.9,58839,14.5,300237,422944,362010,99436,27.666742536567295
29,2010,Staten Island,462222,54353,11.8,18469,17.1,29114,9.8,24420,10.9,29933,12.6,11790,25.1,36496,98544,79627,24109,17.001215836621373
30,2011,Bronx,1357260,412139,30.4,147402,40.9,230498,26.9,172660,27.2,239479,33.1,126188,27.4,254431,232768,207185,108765,36.641253254683285
31,2011,Brooklyn,2512502,592789,23.6,198874,33.6,327476,20.0,259649,21.9,333140,25.1,204232,24.0,358697,459767,347103,151808,30.77446427361104
32,2011,Manhattan,1556394,284572,18.3,59796,25.6,186884,16.8,120225,16.3,164347,20.0,72511,31.0,163355,155634,172640,115687,33.227291311130955
33,2011,Queens,2220676,351223,15.8,95880,21.1,213070,14.3,151043,14.0,200180,17.5,61116,14.6,302258,432731,344585,98641,27.997895466174622
34,2011,Staten Island,464333,54365,11.7,18847,17.5,30355,10.2,25437,11.3,28928,12.1,13201,25.9,37373,104162,79259,23297,16.926637499207406
35,2012,Bronx,1374278,426381,31.0,161455,44.5,229074,26.4,182056,28.4,244325,33.3,125363,27.6,255999,230156,210063,106883,36.76994849314439
36,2012,Brooklyn,2547456,619707,24.3,208253,34.9,338891,20.5,276701,23.0,343006,25.5,203524,23.4,363179,452391,347562,154691,31.22422906428505
37,2012,Manhattan,1570809,279290,17.8,61490,25.8,178327,16.0,118835,15.9,160455,19.4,65901,27.4,164751,146846,176292,119863,33.768131685690804
38,2012,Queens,2248849,363869,16.2,106830,23.2,218490,14.6,160301,14.7,203568,17.6,62867,15.4,318291,425901,361678,99080,28.78195447927876
39,2012,Staten Island,465355,54028,11.6,15471,14.6,31619,10.7,22726,10.1,31302,13.0,13941,28.2,35974,97195,89031,23611,16.18991899189919
40,2013,Bronx,1379387,425977,30.9,149093,42.0,241601,27.6,180307,27.9,245670,33.5,124919,27.5,243910,243545,217545,104062,34.59716312056737
41,2013,Brooklyn,2571598,599001,23.3,198557,33.2,329915,19.8,268363,22.0,330638,24.4,207451,23.7,365001,448391,344601,149559,31.520138722772934
42,2013,Manhattan,1580465,299254,18.9,60344,25.6,195200,17.4,137695,18.4,161559,19.4,82090,34.6,160384,158082,160035,117743,33.518007276891794
43,2013,Queens,2270581,347863,15.3,95312,20.7,211770,14.0,152402,13.8,195461,16.7,56276,13.6,306872,437676,367443,100908,27.596626231687125
44,2013,Staten Island,466495,59539,12.8,19686,18.7,34047,11.5,26174,11.6,33365,13.8,11194,23.0,34065,102543,82699,22612,15.533019921844721
45,2014,Bronx,1401392,442188,31.6,154811,43.3,247859,27.8,185322,28.3,256866,34.4,130518,28.2,258468,241792,214474,106016,36.16282421152485
46,2014,Brooklyn,2597659,607856,23.4,199283,33.1,334743,19.9,275023,22.3,332833,24.4,196201,22.6,348937,454128,347420,148453,30.329556665232488
47,2014,Manhattan,1589189,279428,17.6,52552,22.2,186184,16.6,124230,16.5,155198,18.6,72109,30.7,160191,155254,172799,113096,32.8096197802738
48,2014,Queens,2296519,349127,15.2,94465,20.3,210353,13.8,150679,13.5,198448,16.8,64533,15.2,314921,446515,377574,100087,27.648659801055302
49,2014,Staten Island,467720,67755,14.5,22427,21.5,38155,12.8,31059,13.7,36696,15.2,12763,26.8,37142,102398,80966,22711,16.843986104686493
50,2015,Bronx,1420412,432177,30.4,154480,42.9,237720,26.3,187423,28.1,244754,32.5,122722,26.6,257478,249853,216716,102950,35.560951153723444
51,2015,Brooklyn,2614180,582808,22.3,189253,31.3,323901,19.2,256315,20.7,326493,23.7,189162,22.2,342771,452079,350636,140351,29.923630668554658
52,2015,Manhattan,1597437,280406,17.6,57592,24.3,182763,16.2,119769,15.8,160637,19.1,75670,32.3,165366,143706,173348,110580,34.27842958417976
53,2015,Queens,2313008,318154,13.8,88374,18.8,189209,12.4,138044,12.3,180110,15.1,55311,13.3,314622,455574,365776,92981,27.69628124636875
54,2015,Staten Island,468372,67312,14.4,18804,18.2,40487,13.7,31035,13.6,36277,15.1,13875,28.3,32852,101672,84112,21714,15.025887776944327
